license_type,APPLICATION_CLASSIFICATION,APPROVED_LICENSE_TYPE,Approved_License_Stages,commence_operations_date,application_status,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,ORIGINAL_SUBMITTED_DATE,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,APPLICATION_DENIED_DATE,CCCUpdateDate,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ID
Marijuana Cultivator,Expedited Review - License Type,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC282778,"J&L Enterprises, Inc.",Orange,MA,1364,42.59721,-72.3032,104 GOVERNOR DUKAKIS DRIVE,,Orange,MA,1364,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),33 Carol Lane,,Holyoke,MA,1364,84-2968003,MCN282778,Mon May 04 2020 15:58:39 GMT-0400 (Eastern Daylight Time),Tue Aug 11 2020 09:23:57 GMT-0400 (Eastern Daylight Time),Mon Jul 06 2020 12:29:30 GMT-0400 (Eastern Daylight Time),Thu Nov 19 2020 11:52:39 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,Outdoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,Fri May 01 2020 09:32:52 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 10:24:23 GMT-0400 (Eastern Daylight Time),Thu Oct 08 2020 14:21:19 GMT-0400 (Eastern Daylight Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 21 2024 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,,N/A,Franklin County,300,2500,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Product Manufacturer,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MP281331,"Silver Therapeutics, Inc.",Orange,MA,1364,42.59721,-72.3032,158 Gov. Dukakis Dr.,,Orange,MA,1364,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),89 Court Street,,Saratoga Springs,NY,12866,82-1894711,MPN281331,Mon Mar 04 2019 17:52:12 GMT-0500 (Eastern Standard Time),Fri Apr 12 2019 17:35:01 GMT-0400 (Eastern Daylight Time),Fri Mar 15 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 24 2019 09:09:41 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,,,RP201854,Not a DBE,,,,,,,,,,,,,,,Wed May 02 2018 14:05:00 GMT-0400 (Eastern Daylight Time),Tue Apr 16 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 18 2019 09:32:40 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Sep 24 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,,N/A,Franklin County,300,5000,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Cultivator,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC283612,C3 Brands LLC,Orange,MA,1364,42.59721,-72.3032,"Lot 6E, R.W. Moore Drive",,Orange,MA,1364,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),69 Hitchcock Lane,,Old Westbury,NY,11568,86-2225774,MCN283612,Fri Dec 17 2021 10:23:53 GMT-0500 (Eastern Standard Time),Thu Jan 06 2022 15:10:33 GMT-0500 (Eastern Standard Time),Thu Jan 06 2022 13:51:16 GMT-0500 (Eastern Standard Time),,,no,,,,,,,,,Not a DBE | Veteran-Owned Business,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,Wed Sep 29 2021 17:41:45 GMT-0400 (Eastern Daylight Time),Fri Jan 14 2022 11:31:21 GMT-0500 (Eastern Standard Time),Thu Mar 10 2022 13:56:41 GMT-0500 (Eastern Standard Time),Mon Apr 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,,N/A,Franklin County,400,2500,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Product Manufacturer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MP282184,"Greenway Cultivation, LLC",Orange,MA,1364,42.589389,-72.312758,70 West River Street,,Orange,MA,1364,POINT (-72.573941 42.587072),POINT (-72.312758 42.5893889),70 West River Street,,Orange,MA,1364,88-0766460,MPN282184,Wed Mar 23 2022 13:08:13 GMT-0400 (Eastern Daylight Time),Wed Apr 27 2022 19:19:35 GMT-0400 (Eastern Daylight Time),Tue Apr 05 2022 06:47:02 GMT-0400 (Eastern Daylight Time),Mon Jun 20 2022 10:31:30 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,Thu Mar 10 2022 15:11:36 GMT-0500 (Eastern Standard Time),Fri May 06 2022 10:10:53 GMT-0400 (Eastern Daylight Time),Tue Jun 14 2022 12:21:33 GMT-0400 (Eastern Daylight Time),Mon Jun 20 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jun 20 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,70 W River St,N/A,Franklin County,1500,10000,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Product Manufacturer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MP282124,C3 Brands LLC,Orange,MA,1364,42.59721,-72.3032,"Lot 6E, R.W. Moore Drive",,Orange,MA,1364,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),69 Hitchcock Lane,,Old Westbury,NY,11568,86-2225774,MPN282124,Fri Dec 17 2021 10:26:52 GMT-0500 (Eastern Standard Time),Fri Dec 17 2021 10:26:52 GMT-0500 (Eastern Standard Time),Thu Jan 06 2022 13:48:52 GMT-0500 (Eastern Standard Time),Thu Apr 14 2022 20:42:37 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,Wed Sep 29 2021 18:58:22 GMT-0400 (Eastern Daylight Time),Fri Jan 14 2022 11:30:58 GMT-0500 (Eastern Standard Time),Thu Mar 10 2022 13:56:24 GMT-0500 (Eastern Standard Time),Thu Apr 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,,N/A,Franklin County,1500,10000,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Cultivator,Expedited Review - Two or More,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,APPROVED,PAYMENT_PENDING,MC283761,Cloud 9 Cultivation LLC,Orange,MA,1364,42.59721,-72.3032,68 Carlisle Street,,Quincy,MA,2171,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),68 Carlisle Street,,Quincy,MA,2171,85-2832131,MCN283761,Tue Jul 19 2022 15:09:55 GMT-0400 (Eastern Daylight Time),Thu Sep 01 2022 10:36:05 GMT-0400 (Eastern Daylight Time),Mon Aug 15 2022 11:27:10 GMT-0400 (Eastern Daylight Time),,,yes,SE306037,,,,,,,,Minority-Owned Business,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,Wed Jul 13 2022 10:08:30 GMT-0400 (Eastern Daylight Time),Fri Oct 07 2022 11:16:49 GMT-0400 (Eastern Daylight Time),Thu Dec 08 2022 14:39:28 GMT-0500 (Eastern Standard Time),,,,2/21/23,,Lot 6E,Franklin County,,,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Product Manufacturer,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MP281616,TDMA Orange LLC,Orange,MA,1364,42.59721,-72.3032,207 Danoe; Shays Hwy,,Orange,MA,1364,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),305 SE 3rd Ave,Ste 203,Portland,OR,97214,83-3515575,MPN281616,Tue Mar 12 2019 12:34:39 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2019 12:17:46 GMT-0400 (Eastern Daylight Time),Wed Mar 20 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Nov 22 2019 10:47:17 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,,,RPA201948,Not a DBE,,,,,,,,,,,,,,,Mon Mar 11 2019 16:45:18 GMT-0400 (Eastern Daylight Time),Thu Sep 19 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 10 2019 13:12:35 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Sat Dec 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,,N/A,Franklin County,300,10000,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Cultivator,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC283708,"Greenway Cultivation, LLC",Orange,MA,1364,42.589389,-72.312758,70 West River Street,,Orange,MA,1364,POINT (-72.573941 42.587072),POINT (-72.312758 42.5893889),70 West River Street,,Orange,MA,1364,88-0766460,MCN283708,Wed Mar 23 2022 13:10:22 GMT-0400 (Eastern Daylight Time),Wed Apr 06 2022 10:48:51 GMT-0400 (Eastern Daylight Time),Tue Apr 05 2022 06:47:12 GMT-0400 (Eastern Daylight Time),Mon Jun 20 2022 10:31:48 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,,Not a DBE,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,,,,,,,,,,,Thu Mar 10 2022 14:06:47 GMT-0500 (Eastern Standard Time),Fri May 06 2022 10:10:48 GMT-0400 (Eastern Daylight Time),Thu Jun 09 2022 12:50:55 GMT-0400 (Eastern Daylight Time),Mon Jun 20 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jun 20 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,70 W River St,N/A,Franklin County,2000,20000,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Product Manufacturer,General Applicant,COMMENCE OPS,COMMENCE OPS,8/6/21,APPROVED,COMPLETE,MP281383,"PHA Industries, Inc.",Orange,MA,1364,42.569555,-72.301612,153 Quabbin Blvd,,Orange,MA,1364,POINT (-72.573941 42.587072),POINT (-72.301612 42.5695550),153 Quabbin Blvd,,Orange,MA,1364,04-3541744,MPN281383,Thu Feb 21 2019 11:13:15 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 14:05:15 GMT-0400 (Eastern Daylight Time),Tue Oct 01 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,Thu Jul 15 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jun 05 2018 12:58:55 GMT-0400 (Eastern Daylight Time),Wed Apr 15 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:35:41 GMT-0400 (Eastern Daylight Time),Thu May 12 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jun 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,154 Quabbin Blvd,N/A,Franklin County,300,10000,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Cultivator,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC281982,TDMA Orange LLC,Orange,MA,1364,42.59721,-72.3032,207 Daniel Shays Hwy,,Orange,MA,1364,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),305 SE 3rd Ave,Ste 203,Portland,OR,97214,83-3515575,MCN281982,Tue Mar 12 2019 11:45:59 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2019 13:06:38 GMT-0400 (Eastern Daylight Time),Wed Mar 20 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Nov 22 2019 10:45:02 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,,,RPA201948,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,Mon Feb 11 2019 13:38:00 GMT-0500 (Eastern Standard Time),Thu Sep 19 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 10 2019 13:10:25 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Sat Dec 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,,N/A,Franklin County,400,2500,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Cultivator,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC282031,TDMA Orange LLC,Orange,MA,1364,42.59721,-72.3032,207 Danoe; Shays Hwy,,Orange,MA,1364,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),207 Danoe Shays Hwy,,Orange,MA,1364,83-3515575,MCN282031,Tue Mar 12 2019 12:03:34 GMT-0400 (Eastern Daylight Time),Thu Apr 18 2019 12:12:42 GMT-0400 (Eastern Daylight Time),Wed Mar 20 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Nov 22 2019 11:08:39 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,,,RPA201948,Not a DBE,Outdoor,"Tier 05: 30,001 to 40,000 sq. ft",,,,,,,,,,,,,Mon Mar 11 2019 18:00:18 GMT-0400 (Eastern Daylight Time),Thu Sep 19 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 10 2019 13:13:50 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Sat Dec 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,,N/A,Franklin County,300,11250,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Cultivator,Expedited Review - License Type,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC283505,"CanGrow, LLC",Orange,MA,1364,42.569037,-72.302276,150 John Vertente Blvd,,New Bedford,MA,2745,POINT (-72.573941 42.587072),POINT (-72.302276 42.5690370),150 John Vertente Blvd,,New Bedford,MA,2745,86-3815109,MCN283505,Wed Jun 09 2021 14:47:57 GMT-0400 (Eastern Daylight Time),Mon Aug 23 2021 14:55:24 GMT-0400 (Eastern Daylight Time),Tue Jul 13 2021 15:05:09 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,,Not a DBE,Outdoor,"Tier 07: 50,001 to 60,000 sq. ft",,,,,,,,,,,,,Mon May 03 2021 10:44:09 GMT-0400 (Eastern Daylight Time),Fri Sep 03 2021 09:01:29 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:35:47 GMT-0500 (Eastern Standard Time),Mon Mar 07 2022 03:00:00 GMT-0500 (Eastern Standard Time),Tue Mar 07 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,,Parcel 129-6,Franklin County,1500,15000,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,6/29/20,APPROVED,COMPLETE,MR281910,"Silver Therapeutics, Inc.",Orange,MA,1364,42.590627,-72.309389,"82 Wendell Ave, Suite 100",,Pittsfield,MA,1201,POINT (-72.573941 42.587072),POINT (-72.309388 42.5906269),89 Court St,,Saratoga Springs,NY,12866,82-1894711,MRN281910,Wed Dec 19 2018 13:16:24 GMT-0500 (Eastern Standard Time),Mon Jan 28 2019 17:48:31 GMT-0500 (Eastern Standard Time),Mon Jan 14 2019 00:00:00 GMT-0500 (Eastern Standard Time),Fri Apr 26 2019 11:12:50 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,,,,RPA201854,Not a DBE,,,,,,,,,,,,,,Thu May 07 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 20 2018 16:15:46 GMT-0400 (Eastern Daylight Time),Thu Feb 14 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 04 2019 16:39:56 GMT-0400 (Eastern Daylight Time),Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 26 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,5 S Main St,N/A,Franklin County,300,5000,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Retailer,General Applicant,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,APPROVED,PAYMENT_PENDING,MR281383,Elev8 Cannabis Inc.,Orange,MA,1364,42.590338,-72.309861,243 Main Street,,Athol,MA,1331,POINT (-72.573941 42.587072),POINT (-72.309860 42.5903380),243 Main Street,,Athol,MA,1331,83-3358397,MRN281383,Wed Mar 06 2019 10:05:25 GMT-0500 (Eastern Standard Time),Wed Nov 20 2019 16:04:22 GMT-0500 (Eastern Standard Time),Thu Oct 10 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,Thu May 03 2018 22:34:07 GMT-0400 (Eastern Daylight Time),Wed Nov 27 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu Jan 16 2020 15:31:42 GMT-0500 (Eastern Standard Time),,,,2/21/23,14 S Main St,N/A,Franklin County,300,,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Cultivator,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC281359,"Silver Therapeutics, Inc",Orange,MA,1364,42.59721,-72.3032,"82 Wendell Ave, Suite 100",,Pittsfield,MA,1201,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),89 Court Street,,Saratoga Springs,NY,12866,82-1894711,MCN281359,Mon May 21 2018 13:28:30 GMT-0400 (Eastern Daylight Time),Fri Jun 29 2018 14:10:57 GMT-0400 (Eastern Daylight Time),Mon May 14 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Dec 17 2018 11:30:08 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,,,RPA201854,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,Wed May 02 2018 09:21:18 GMT-0400 (Eastern Daylight Time),Thu Jul 05 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Dec 14 2018 11:58:08 GMT-0500 (Eastern Standard Time),Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jan 22 2024 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,,N/A,Franklin County,600,5000,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Cultivator,General Applicant,FINAL LICENSE,FINAL LICENSE,,APPROVED,COMPLETE,MC282392,"J&L Enterprises, Inc.",Orange,MA,1364,42.564637,-72.285668,104 GOVERNOR DUKAKIS DRIVE,,Orange,MA,1364,POINT (-72.573941 42.587072),POINT (-72.285668 42.5646369),33 Carol Lane,,Holyoke,MA,1080,84-2968003,MCN282392,Fri Sep 13 2019 16:22:24 GMT-0400 (Eastern Daylight Time),Tue May 19 2020 12:41:38 GMT-0400 (Eastern Daylight Time),Thu Feb 13 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Nov 19 2020 11:49:35 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 12 2019 13:06:28 GMT-0400 (Eastern Daylight Time),Thu May 21 2020 14:34:48 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:06:30 GMT-0400 (Eastern Daylight Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 21 2024 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,104 Governor Dukakis Dr,N/A,Franklin County,200,2500,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Microbusiness,Expedited Review - Two or More,COMMENCE OPS,COMMENCE OPS,11/10/22,APPROVED,COMPLETE,MB282152,"Morning Dew, LLC",Orange,MA,1364,42.562883,-72.280219,375 PINEDALE ROAD,,ATHOL,MA,1331,POINT (-72.573941 42.587072),POINT (-72.280219 42.5628829),375 PINEDALE ROAD,,ATHOL,MA,1331,85-3883618,MBN282152,Thu Jan 07 2021 20:27:33 GMT-0500 (Eastern Standard Time),Fri Feb 19 2021 13:35:58 GMT-0500 (Eastern Standard Time),Fri Jan 15 2021 16:46:48 GMT-0500 (Eastern Standard Time),Tue May 04 2021 15:55:42 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,Thu Jun 09 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Nov 20 2020 18:20:04 GMT-0500 (Eastern Standard Time),Fri Feb 19 2021 15:51:10 GMT-0500 (Eastern Standard Time),Fri Apr 16 2021 13:55:54 GMT-0400 (Eastern Daylight Time),Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu May 04 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,47 Daniel Shays Hwy,N/A,Franklin County,1000,625,1364,Orange,Franklin,42.587072,-72.573941,Western MA,152
Marijuana Cultivator,Expedited Review - Two or More,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,APPROVED,PAYMENT_PENDING,MC283660,Green Origin Farm LLC,Petersham,MA,1366,42.499083,-72.133543,93 Glasheen Rd,,Petersham,MA,1366,POINT (-71.840209 42.329642),POINT (-72.133543 42.4990829),93 Glasheen Rd,,Petersham,MA,1366,87-2022896,MCN283660,Sun Mar 06 2022 13:29:21 GMT-0500 (Eastern Standard Time),Tue Jun 07 2022 07:51:30 GMT-0400 (Eastern Daylight Time),Wed Mar 23 2022 10:05:01 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,,Woman-Owned Business,Outdoor,"Tier 04: 20,001 to 30,000 sq. ft",,,,,,,,,,,,,Fri Dec 03 2021 10:26:15 GMT-0500 (Eastern Standard Time),Fri Jun 10 2022 09:53:42 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 12:51:42 GMT-0400 (Eastern Daylight Time),,,,2/21/23,93 Glasheen Rd,N/A,Worcester County,1500,,1366,Petersham,Worcester,42.329642,-71.840209,Western MA,153
Marijuana Product Manufacturer,Expedited Review - DBE Status,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,APPROVED,PAYMENT_PENDING,MP282161,Green Origin Farm LLC,Petersham,MA,1366,42.499083,-72.133543,93 Glasheen Rd.,,Petersham,MA,1366,POINT (-71.840209 42.329642),POINT (-72.133543 42.4990829),93 Glasheen Rd,,Petersham,MA,1366,87-2022896,MPN282161,Sun Mar 06 2022 13:34:31 GMT-0500 (Eastern Standard Time),Tue Jun 07 2022 07:53:24 GMT-0400 (Eastern Daylight Time),Wed Mar 23 2022 10:05:49 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,,Wed Dec 22 2021 21:10:30 GMT-0500 (Eastern Standard Time),Fri Jun 10 2022 09:53:21 GMT-0400 (Eastern Daylight Time),Fri Sep 16 2022 13:56:11 GMT-0400 (Eastern Daylight Time),,,,2/21/23,93 Glasheen Rd,N/A,Worcester County,1500,,1366,Petersham,Worcester,42.329642,-71.840209,Western MA,153
Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MP281544,Royalston Farm LLC,Royalston,MA,1368,42.658288,-72.158487,130 South Royalston Road,,Royalston,MA,1368,POINT (-71.840209 42.329642),POINT (-72.158486 42.6582879),130 South Royalston Road,,Royalston,MA,1368,83-2206361,MPN281544,Sun Feb 10 2019 19:59:45 GMT-0500 (Eastern Standard Time),Fri Jan 03 2020 11:52:19 GMT-0500 (Eastern Standard Time),Thu Sep 12 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,Tue Nov 27 2018 15:19:10 GMT-0500 (Eastern Standard Time),Fri Nov 01 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 16 2020 15:40:42 GMT-0500 (Eastern Standard Time),Thu Jun 09 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jul 15 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,130 S Royalston Rd,N/A,Worcester County,300,5000,1368,Royalston,Worcester,42.329642,-71.840209,Western MA,155
Marijuana Cultivator,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC281430,Royalston Farm LLC,Royalston,MA,1368,42.658288,-72.158487,130 South Royalston Road,,Royalston,MA,1368,POINT (-71.840209 42.329642),POINT (-72.158486 42.6582879),160 South Royalston Road,,Royalston,MA,1368,83-2206361,MCN281430,Sat Feb 09 2019 01:55:54 GMT-0500 (Eastern Standard Time),Fri Jan 03 2020 11:49:28 GMT-0500 (Eastern Standard Time),Thu Sep 12 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Feb 10 2020 19:56:32 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,Sat May 12 2018 15:59:30 GMT-0400 (Eastern Daylight Time),Fri Nov 01 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 16 2020 15:40:09 GMT-0500 (Eastern Standard Time),Thu Jan 20 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sat Feb 18 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,130 S Royalston Rd,N/A,Worcester County,400,1250,1368,Royalston,Worcester,42.329642,-71.840209,Western MA,155
